=== monitor_resources.sh started 2026-09-17T11:13:17Z ===
tracking tmux session 'index_d10b', process pattern 'vg', RSS stop limit 100GB
2026-09-17T11:20:54Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5343M wired, 3571M compressor), 40G unused.
2026-09-17T11:21:14Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5325M wired, 3571M compressor), 40G unused.
2026-09-17T11:21:35Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (4924M wired, 3571M compressor), 40G unused.
2026-09-17T11:21:56Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5328M wired, 3571M compressor), 40G unused.
2026-09-17T11:22:17Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5331M wired, 3571M compressor), 40G unused.
2026-09-17T11:22:37Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5106M wired, 3571M compressor), 40G unused.
2026-09-17T11:22:58Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5348M wired, 3571M compressor), 40G unused.
2026-09-17T11:23:19Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5319M wired, 3571M compressor), 40G unused.
2026-09-17T11:23:39Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5089M wired, 3571M compressor), 40G unused.
2026-09-17T11:24:00Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5169M wired, 3571M compressor), 40G unused.
2026-09-17T11:24:21Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5329M wired, 3571M compressor), 40G unused.
2026-09-17T11:24:42Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (4941M wired, 3571M compressor), 40G unused.
2026-09-17T11:25:02Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5324M wired, 3571M compressor), 40G unused.
2026-09-17T11:25:23Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5343M wired, 3571M compressor), 40G unused.
2026-09-17T11:25:44Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5332M wired, 3571M compressor), 40G unused.
2026-09-17T11:26:04Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5095M wired, 3571M compressor), 40G unused.
2026-09-17T11:26:25Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (5332M wired, 3571M compressor), 40G unused.
2026-09-17T11:26:46Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (4906M wired, 3571M compressor), 40G unused.
2026-09-17T11:27:07Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5081M wired, 3571M compressor), 40G unused.
2026-09-17T11:27:27Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 86G used (4940M wired, 3571M compressor), 40G unused.
2026-09-17T11:27:48Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5347M wired, 3571M compressor), 40G unused.
2026-09-17T11:28:09Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5350M wired, 3571M compressor), 40G unused.
2026-09-17T11:28:29Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5101M wired, 3571M compressor), 40G unused.
2026-09-17T11:28:50Z tracked_rss_gb=1 unused_mb=99999 PhysMem: 87G used (5317M wired, 3571M compressor), 40G unused.
