=== monitor_resources.sh started 2026-09-17T04:13:00Z ===
tracking tmux session 'full_scan', process pattern 'odgi', RSS stop limit 100GB
2026-09-17T04:53:49Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 80G used (5069M wired, 4018M compressor), 46G unused.
2026-09-17T04:54:19Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5091M wired, 4017M compressor), 22G unused.
2026-09-17T04:54:50Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4704M wired, 4017M compressor), 22G unused.
2026-09-17T04:55:21Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4688M wired, 4017M compressor), 22G unused.
2026-09-17T04:55:52Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5080M wired, 4017M compressor), 22G unused.
2026-09-17T04:56:23Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5083M wired, 4017M compressor), 22G unused.
2026-09-17T04:56:54Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4688M wired, 4017M compressor), 22G unused.
2026-09-17T04:57:25Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5079M wired, 4017M compressor), 22G unused.
2026-09-17T04:57:56Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5083M wired, 4017M compressor), 22G unused.
2026-09-17T04:58:27Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5071M wired, 4017M compressor), 22G unused.
2026-09-17T04:58:58Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5083M wired, 4017M compressor), 22G unused.
2026-09-17T04:59:29Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5101M wired, 4017M compressor), 22G unused.
2026-09-17T05:00:00Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 106G used (5526M wired, 4016M compressor), 21G unused.
2026-09-17T05:00:32Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5079M wired, 4016M compressor), 22G unused.
2026-09-17T05:01:03Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5098M wired, 4016M compressor), 21G unused.
2026-09-17T05:01:34Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5078M wired, 4016M compressor), 22G unused.
2026-09-17T05:02:05Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5086M wired, 4016M compressor), 21G unused.
2026-09-17T05:02:36Z tracked_rss_gb=14 unused_mb=99999 PhysMem: 100G used (5095M wired, 4016M compressor), 27G unused.
2026-09-17T05:03:06Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4689M wired, 4016M compressor), 22G unused.
2026-09-17T05:03:37Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 82G used (5068M wired, 4016M compressor), 45G unused.
2026-09-17T05:04:08Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5094M wired, 4016M compressor), 21G unused.
2026-09-17T05:04:39Z tracked_rss_gb=0 unused_mb=99999 PhysMem: 81G used (4688M wired, 4015M compressor), 46G unused.
2026-09-17T05:05:10Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4692M wired, 4015M compressor), 21G unused.
2026-09-17T05:05:41Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5080M wired, 4015M compressor), 21G unused.
2026-09-17T05:06:12Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5076M wired, 4015M compressor), 22G unused.
2026-09-17T05:06:43Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4688M wired, 4015M compressor), 22G unused.
2026-09-17T05:07:14Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5080M wired, 4015M compressor), 21G unused.
2026-09-17T05:07:45Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5078M wired, 4015M compressor), 21G unused.
2026-09-17T05:08:16Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5073M wired, 4014M compressor), 21G unused.
2026-09-17T05:08:47Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5087M wired, 4014M compressor), 21G unused.
2026-09-17T05:09:18Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5099M wired, 4014M compressor), 21G unused.
2026-09-17T05:09:49Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5079M wired, 4014M compressor), 21G unused.
2026-09-17T05:10:20Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5093M wired, 4014M compressor), 21G unused.
2026-09-17T05:10:51Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5092M wired, 4014M compressor), 21G unused.
2026-09-17T05:11:22Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4689M wired, 4014M compressor), 21G unused.
2026-09-17T05:11:53Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5090M wired, 4013M compressor), 21G unused.
2026-09-17T05:12:24Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (5084M wired, 4013M compressor), 22G unused.
2026-09-17T05:12:55Z tracked_rss_gb=24 unused_mb=99999 PhysMem: 105G used (4688M wired, 4013M compressor), 22G unused.
2026-09-17T05:13:26Z tracked_rss_gb=7 unused_mb=99999 PhysMem: 92G used (5066M wired, 4013M compressor), 35G unused.
